dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
15_Hepatitis,48,0,continuous,28,20.0,72.0,zscore_range,,,39.9375,11.714318606588549,zscore
15_Hepatitis,48,1,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,2,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,3,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,4,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,5,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,6,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,7,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,8,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,9,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,10,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,11,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,12,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,13,continuous,17,0.4,4.6,zscore_range,,,1.0708333333333333,0.663939735384336,zscore
15_Hepatitis,48,14,continuous,39,26.0,215.0,zscore_range,,,89.33333333333333,43.674140581762515,zscore
15_Hepatitis,48,15,continuous,40,14.0,420.0,zscore_range,,,86.14583333333333,78.97177491128643,zscore
15_Hepatitis,48,16,continuous,19,2.7,5.0,zscore_range,,,4.008333333333333,0.4868407222992843,zscore
15_Hepatitis,48,17,continuous,32,0.0,100.0,zscore_range,,,66.08333333333333,22.278383893112373,zscore
15_Hepatitis,48,18,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
