dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
25_musk,2106,0,continuous,31,28.0,64.0,zscore_range,,,43.736467236467234,8.232112881049643,zscore
25_musk,2106,1,continuous,199,-198.0,90.0,zscore_range,,,-102.26495726495726,97.54982206212577,zscore
25_musk,2106,2,continuous,186,-164.0,52.0,zscore_range,,,-54.439221272554605,73.77072590230705,zscore
25_musk,2106,3,continuous,214,-114.0,155.0,zscore_range,,,24.90218423551757,88.21110139480288,zscore
25_musk,2106,4,continuous,60,-117.0,15.0,zscore_range,,,-113.29534662867997,10.954804294489282,zscore
25_musk,2106,5,continuous,276,-157.0,197.0,zscore_range,,,32.49192782526116,87.92882806415385,zscore
25_musk,2106,6,continuous,244,-170.0,217.0,zscore_range,,,-29.584045584045583,132.10220370640715,zscore
25_musk,2106,7,continuous,215,-27.0,234.0,zscore_range,,,51.883190883190885,46.69387314871546,zscore
25_musk,2106,8,continuous,290,-244.0,147.0,zscore_range,,,-102.69088319088318,122.74267542637692,zscore
25_musk,2106,9,continuous,322,-187.0,231.0,zscore_range,,,-43.68423551756885,80.99113306789606,zscore
25_musk,2106,10,continuous,210,-155.0,161.0,zscore_range,,,-56.51994301994302,46.60351680843552,zscore
25_musk,2106,11,continuous,237,-131.0,172.0,zscore_range,,,-47.58404558404558,59.5495341703909,zscore
25_musk,2106,12,continuous,252,-140.0,194.0,zscore_range,,,-40.68613485280152,58.8188243698845,zscore
25_musk,2106,13,continuous,152,-137.0,79.0,zscore_range,,,-67.6994301994302,48.426566622578314,zscore
25_musk,2106,14,continuous,199,-121.0,117.0,zscore_range,,,-65.41737891737891,44.217959915342604,zscore
25_musk,2106,15,continuous,272,-316.0,65.0,zscore_range,,,-244.46153846153845,85.04816071684235,zscore
25_musk,2106,16,continuous,286,-223.0,138.0,zscore_range,,,-69.43732193732194,128.51751357162317,zscore
25_musk,2106,17,continuous,244,-150.0,185.0,zscore_range,,,-41.65811965811966,51.23504968585829,zscore
25_musk,2106,18,continuous,238,-84.0,199.0,zscore_range,,,-9.624406457739791,55.07260124711281,zscore
25_musk,2106,19,continuous,244,-89.0,227.0,zscore_range,,,-8.087369420702753,59.516802052095784,zscore
25_musk,2106,20,continuous,353,-240.0,194.0,zscore_range,,,-76.5,85.78003213237088,zscore
25_musk,2106,21,continuous,246,-185.0,190.0,zscore_range,,,-64.01946818613486,122.01411226001836,zscore
25_musk,2106,22,continuous,310,-224.0,212.0,zscore_range,,,-68.78774928774929,108.04333335383886,zscore
25_musk,2106,23,continuous,333,-76.0,317.0,zscore_range,,,60.5636277302944,134.59309429622934,zscore
25_musk,2106,24,continuous,249,-100.0,271.0,zscore_range,,,25.397435897435898,123.1427694379186,zscore
25_musk,2106,25,continuous,326,-236.0,183.0,zscore_range,,,-89.78157644824311,109.1665340578264,zscore
25_musk,2106,26,continuous,264,-185.0,157.0,zscore_range,,,-13.527540360873694,99.53892017669558,zscore
25_musk,2106,27,continuous,239,-166.0,144.0,zscore_range,,,-94.58594491927825,89.74156983310982,zscore
25_musk,2106,28,continuous,241,-120.0,174.0,zscore_range,,,26.86039886039886,67.33806137410318,zscore
25_musk,2106,29,continuous,287,-156.0,262.0,zscore_range,,,-0.49952516619183285,139.3427192198595,zscore
25_musk,2106,30,continuous,132,-117.0,69.0,zscore_range,,,-85.39981006647673,56.877041033575715,zscore
25_musk,2106,31,continuous,110,-113.0,139.0,zscore_range,,,20.77587844254511,103.39430747367349,zscore
25_musk,2106,32,continuous,103,-123.0,115.0,zscore_range,,,-40.21462488129155,55.08490808337156,zscore
25_musk,2106,33,continuous,367,-256.0,160.0,zscore_range,,,-98.08831908831908,122.4566003952642,zscore
25_musk,2106,34,continuous,117,-158.0,102.0,zscore_range,,,-65.46248812915479,75.94811774534557,zscore
25_musk,2106,35,continuous,86,74.0,178.0,zscore_range,,,121.02801519468186,33.13414379238537,zscore
25_musk,2106,36,continuous,229,-175.0,145.0,zscore_range,,,-83.08926875593542,122.87493007666627,zscore
25_musk,2106,37,continuous,239,-154.0,170.0,zscore_range,,,-12.082621082621083,88.85834310614098,zscore
25_musk,2106,38,continuous,144,-147.0,99.0,zscore_range,,,-63.675213675213676,76.61958124945791,zscore
25_musk,2106,39,continuous,234,-131.0,194.0,zscore_range,,,11.923076923076923,83.95853094562659,zscore
25_musk,2106,40,continuous,173,-186.0,81.0,zscore_range,,,-71.39553656220323,93.83986865260783,zscore
25_musk,2106,41,continuous,161,-139.0,101.0,zscore_range,,,13.040835707502374,60.44221530002617,zscore
