dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
40_vowels,1001,0,continuous,1000,-2.867307881616238,2.471602142606195,zscore_range,,,-0.05691512780948834,0.9711265599517749,zscore
40_vowels,1001,1,continuous,1001,-2.698542590071115,2.295132093370149,zscore_range,,,-0.01959361603676583,1.0046850891479113,zscore
40_vowels,1001,2,continuous,999,-2.139163380270136,2.059834003877817,zscore_range,,,-0.019686867376815957,0.9992950205224383,zscore
40_vowels,1001,3,continuous,1000,-2.181580526276978,2.911436618789931,zscore_range,,,0.013143406140496654,0.9969941017225777,zscore
40_vowels,1001,4,continuous,1000,-3.135491868059729,2.365124732836057,zscore_range,,,0.03745821489120676,0.9873084974986464,zscore
40_vowels,1001,5,continuous,1001,-3.172655842228439,2.725823307968158,zscore_range,,,0.010850546050876686,0.9817408927918573,zscore
40_vowels,1001,6,continuous,999,-3.042617284091377,3.560905006332191,zscore_range,,,0.0001441566048784436,0.9753399116821381,zscore
40_vowels,1001,7,continuous,1001,-2.323022819632606,3.222746990182553,zscore_range,,,-0.046900220032918265,0.9692830512546767,zscore
40_vowels,1001,8,continuous,1000,-1.652188290725242,2.537665999601121,zscore_range,,,-0.021210047092853512,0.992874867023035,zscore
40_vowels,1001,9,continuous,1001,-2.678593102058505,3.432735209106242,zscore_range,,,0.01707828576644529,0.9797305188755542,zscore
40_vowels,1001,10,continuous,1001,-3.35614493691685,2.361587096090943,zscore_range,,,0.032647241724737035,0.9958309309272194,zscore
40_vowels,1001,11,continuous,999,-3.175047709543373,3.209296745444923,zscore_range,,,-0.009659551605353981,1.019283337413016,zscore
