dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
22_magic.gamma,8608,FULL_DATA_ONLY,0,continuous,8543,-0.969134769442185,5.16496153162749,adjusted_boxplot_range,,,-0.6993244510678528,0.1399236721230005,0.41624638470064296,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,1,continuous,8381,-1.20903184108237,8.40257062857248,adjusted_boxplot_range,,,-0.5457189849638314,0.0260796528976075,0.1557987226945433,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,2,continuous,3570,-1.750358286863,4.5907516767631,adjusted_boxplot_range,,,-0.834570649297138,0.477324764960798,0.17467418790118394,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,3,continuous,4535,-2.00438030345945,2.78192753763412,adjusted_boxplot_range,,,-0.75064115239814,0.663917942123913,0.1891724671307035,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,4,continuous,3434,-1.87635178331418,4.16740146647042,adjusted_boxplot_range,,,-0.7438832712456898,0.6096043651318089,0.19512195121950354,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,5,continuous,8535,-5.83428863975866,3.78724302277722,adjusted_boxplot_range,,,-0.17235785492549277,0.4878000527240708,-0.055354742015825235,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,6,continuous,8535,-4.10611882817538,3.79052956566458,adjusted_boxplot_range,,,-0.3815097998535143,0.5369782708455778,0.012193912510368944,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,7,continuous,8441,-4.36044134792549,4.85625113579186,adjusted_boxplot_range,,,-0.5180138078533817,0.49892231442577073,0.0063710944318387825,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,8,continuous,8264,-1.0590755664032,2.3887220279683,adjusted_boxplot_range,,,-0.9199186246081508,-0.0579692260152745,0.5266762391429822,8608,FULL_TRAIN,10000,adjusted_boxplot
22_magic.gamma,8608,FULL_DATA_ONLY,9,continuous,8458,-2.50405930423131,3.43339807543591,adjusted_boxplot_range,,,-0.6744690380779939,0.5549776770837938,0.021602175418445176,8608,FULL_TRAIN,10000,adjusted_boxplot
