dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
7_Cardiotocography,1162,FULL_DATA_ONLY,0,continuous,48,106.0,160.0,adjusted_boxplot_range,,,125.0,138.0,0.0,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,1,continuous,21,0.0,26.0,adjusted_boxplot_range,,,0.0,5.0,0.3333333333333333,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,2,continuous,67,0.0,317.0,adjusted_boxplot_range,,,0.0,2.0,1.0,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,3,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
7_Cardiotocography,1162,FULL_DATA_ONLY,4,continuous,71,12.0,83.0,adjusted_boxplot_range,,,29.0,56.0,0.1,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,5,continuous,51,0.2,7.0,adjusted_boxplot_range,,,0.8,1.8,0.12500000000000003,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,6,continuous,63,0.0,73.0,adjusted_boxplot_range,,,0.0,4.0,1.0,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,7,continuous,227,0.0,50.7,adjusted_boxplot_range,,,4.9,11.5,0.0909090909090911,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,8,categorical_low_card,14,0.0,14.0,minmax,0.0,14.0,,,,0,NA,10000,fallback
7_Cardiotocography,1162,FULL_DATA_ONLY,9,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
7_Cardiotocography,1162,FULL_DATA_ONLY,10,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
7_Cardiotocography,1162,FULL_DATA_ONLY,11,continuous,145,10.0,176.0,adjusted_boxplot_range,,,42.0,100.75,0.07936507936507936,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,12,continuous,103,50.0,159.0,adjusted_boxplot_range,,,67.0,115.0,0.0,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,13,continuous,83,122.0,238.0,adjusted_boxplot_range,,,152.0,175.0,0.07692307692307693,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,14,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
7_Cardiotocography,1162,FULL_DATA_ONLY,15,categorical_low_card,7,0.0,10.0,minmax,0.0,10.0,,,,0,NA,10000,fallback
7_Cardiotocography,1162,FULL_DATA_ONLY,16,continuous,69,86.0,187.0,adjusted_boxplot_range,,,129.0,147.0,-0.06666666666666667,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,17,continuous,68,90.0,180.0,adjusted_boxplot_range,,,125.0,144.0,0.0,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,18,continuous,68,105.0,183.0,adjusted_boxplot_range,,,129.0,147.0,-0.043478260869565216,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,19,continuous,103,0.0,177.0,adjusted_boxplot_range,,,3.0,25.0,0.5238095238095238,1162,FULL_TRAIN,10000,adjusted_boxplot
7_Cardiotocography,1162,FULL_DATA_ONLY,20,categorical_low_card,3,-1.0,1.0,minmax,-1.0,1.0,,,,0,NA,10000,fallback
