dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
18_Ionosphere,156,FULL_DATA_ONLY,0,continuous,118,0.59733,1.0,adjusted_boxplot_range,,,0.8732249999999999,0.99887875,-0.3879080661689357,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,1,continuous,151,0.037735,1.0,adjusted_boxplot_range,,,0.48748250000000004,0.59238,0.19816525532460919,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,2,continuous,118,0.52099,1.0,adjusted_boxplot_range,,,0.8456875,0.9993062500000001,-0.21211694258541983,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,3,continuous,153,0.107455,1.0,adjusted_boxplot_range,,,0.490865,0.6659525,0.5011433238056361,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,4,continuous,130,0.38889,1.0,adjusted_boxplot_range,,,0.75243375,0.98125125,-0.3751174381757672,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,5,continuous,152,0.06474,1.0,adjusted_boxplot_range,,,0.48204,0.73965375,0.4572398661485845,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,6,continuous,135,0.286875,1.0,adjusted_boxplot_range,,,0.6917475,0.96440125,-0.4784358303967259,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,7,continuous,149,0.25019,1.0,adjusted_boxplot_range,,,0.48554125,0.80470875,0.6070723881749392,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,8,continuous,137,0.0,1.0,adjusted_boxplot_range,,,0.6809125,0.9590675,-0.34890397504667947,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,9,continuous,150,0.0,1.0,adjusted_boxplot_range,,,0.49075625,0.77075625,0.5187449545234378,156,FULL_TRAIN,10000,adjusted_boxplot
18_Ionosphere,156,FULL_DATA_ONLY,10,continuous,141,0.0,1.0,adjusted_boxplot_range,,,0.604205,0.9623325,-0.5275901979233452,156,FULL_TRAIN,10000,adjusted_boxplot
