dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
20_letter,1047,FULL_DATA_ONLY,0,categorical_low_card,13,0.0,13.0,minmax,0.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,1,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,2,categorical_low_card,14,0.0,13.0,minmax,0.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,3,categorical_low_card,11,0.0,10.0,minmax,0.0,10.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,4,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,5,categorical_low_card,11,3.0,13.0,minmax,3.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,6,categorical_low_card,14,2.0,15.0,minmax,2.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,7,categorical_low_card,14,0.0,13.0,minmax,0.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,8,categorical_low_card,11,0.0,10.0,minmax,0.0,10.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,9,categorical_low_card,11,4.0,14.0,minmax,4.0,14.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,10,categorical_low_card,12,1.0,12.0,minmax,1.0,12.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,11,categorical_low_card,12,2.0,13.0,minmax,2.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,12,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,13,categorical_low_card,14,0.0,13.0,minmax,0.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,14,categorical_low_card,12,0.0,11.0,minmax,0.0,11.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,15,categorical_low_card,10,3.0,12.0,minmax,3.0,12.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,16,categorical_low_card,14,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,17,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,18,categorical_low_card,15,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,19,categorical_low_card,10,0.0,9.0,minmax,0.0,9.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,20,categorical_low_card,15,0.0,14.0,minmax,0.0,14.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,21,categorical_low_card,12,3.0,14.0,minmax,3.0,14.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,22,categorical_low_card,14,2.0,15.0,minmax,2.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,23,categorical_low_card,14,0.0,13.0,minmax,0.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,24,categorical_low_card,11,0.0,10.0,minmax,0.0,10.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,25,categorical_low_card,11,4.0,14.0,minmax,4.0,14.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,26,categorical_low_card,12,1.0,12.0,minmax,1.0,12.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,27,categorical_low_card,12,2.0,13.0,minmax,2.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,28,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,29,categorical_low_card,13,1.0,13.0,minmax,1.0,13.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,30,categorical_low_card,11,0.0,11.0,minmax,0.0,11.0,,,,0,NA,10000,fallback
20_letter,1047,FULL_DATA_ONLY,31,categorical_low_card,11,2.0,12.0,minmax,2.0,12.0,,,,0,NA,10000,fallback
