dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
5_campaign,25495,SUBSAMPLE_REGIME,0,continuous,74,0.0,0.962963,adjusted_boxplot_range,,,0.185185,0.37037,0.200006480041472,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,1,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,2,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,3,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,4,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,5,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,6,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,7,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,8,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,9,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,10,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,11,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,12,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,13,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,14,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,15,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,16,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,17,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,18,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,19,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,20,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,21,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,22,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,23,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,24,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,25,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,26,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,27,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,28,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,29,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,30,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,31,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,32,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,33,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,34,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,35,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,36,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,37,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,38,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,39,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,40,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,41,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,42,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,43,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,44,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,45,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,46,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,47,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,48,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,49,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,50,continuous,1154,0.0,0.684425,adjusted_boxplot_range,,,0.019317,0.056527,0.3130650769995032,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,51,continuous,42,0.0,1.0,adjusted_boxplot_range,,,0.0,0.036364,0.3333211110092585,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,52,continuous,23,0.0,1.0,adjusted_boxplot_range,,,1.0,1.0,-1.0,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,53,continuous,7,0.0,0.857143,adjusted_boxplot_range,,,0.0,0.0,1.0,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,54,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,55,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,56,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,,0,NA,10000,fallback
5_campaign,25495,SUBSAMPLE_REGIME,57,continuous,10,0.0,1.0,adjusted_boxplot_range,,,0.333333,1.0,-0.8125000937499531,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,58,continuous,26,0.0,1.0,adjusted_boxplot_range,,,0.389322,0.698753,-0.8085647527235479,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,59,continuous,26,0.0,1.0,adjusted_boxplot_range,,,0.338912,0.60251,0.7142846303841456,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,60,continuous,303,0.0,1.0,adjusted_boxplot_range,,,0.17479,0.981183,-0.9419571774470813,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
5_campaign,25495,SUBSAMPLE_REGIME,61,continuous,11,0.0,1.0,adjusted_boxplot_range,,,0.512287,1.0,-0.4992259792131846,10000,SYSTEMATIC_SUBSAMPLE_SORTED,10000,adjusted_boxplot
