dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
15_Hepatitis,48,FULL_DATA_ONLY,0,continuous,28,20.0,72.0,adjusted_boxplot_range,,,30.75,50.25,0.23809523809523808,48,FULL_TRAIN,10000,adjusted_boxplot
15_Hepatitis,48,FULL_DATA_ONLY,1,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,2,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,3,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,4,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,5,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,6,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,7,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,8,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,9,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,10,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,11,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,12,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
15_Hepatitis,48,FULL_DATA_ONLY,13,continuous,17,0.4,4.6,adjusted_boxplot_range,,,0.7,1.05,1.586032892321652e-16,48,FULL_TRAIN,10000,adjusted_boxplot
15_Hepatitis,48,FULL_DATA_ONLY,14,continuous,39,26.0,215.0,adjusted_boxplot_range,,,57.75,105.25,0.24983748645720477,48,FULL_TRAIN,10000,adjusted_boxplot
15_Hepatitis,48,FULL_DATA_ONLY,15,continuous,40,14.0,420.0,adjusted_boxplot_range,,,31.0,98.5,0.42457550030321406,48,FULL_TRAIN,10000,adjusted_boxplot
15_Hepatitis,48,FULL_DATA_ONLY,16,continuous,19,2.7,5.0,adjusted_boxplot_range,,,3.9,4.3,0.07692307692307697,48,FULL_TRAIN,10000,adjusted_boxplot
15_Hepatitis,48,FULL_DATA_ONLY,17,continuous,32,0.0,100.0,adjusted_boxplot_range,,,52.0,77.25,0.0,48,FULL_TRAIN,10000,adjusted_boxplot
15_Hepatitis,48,FULL_DATA_ONLY,18,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,,0,NA,10000,fallback
