dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
24_mnist,4858,0,constant,1,-0.00359999993816,-0.00359999993816,constant,-0.00359999993816,-0.00359999993816,,,fallback
24_mnist,4858,1,continuous,254,-73.80415344238281,181.1958465576172,mad_range,,,-20.30415344238281,79.31909999999999,mad
24_mnist,4858,2,continuous,251,-53.79403305053711,201.2059631347656,mad_range,,,161.20596313476562,57.821399999999954,mad
24_mnist,4858,3,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,4,continuous,94,-13.124616622924805,241.87538146972656,mad_range,,,-13.124616622924805,0.0,mad
24_mnist,4858,5,continuous,23,-1.150099992752075,251.84989929199216,mad_range,,,-1.150099992752075,0.0,mad
24_mnist,4858,6,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,7,constant,1,-0.141633331775665,-0.141633331775665,constant,-0.141633331775665,-0.141633331775665,,,fallback
24_mnist,4858,8,continuous,252,-73.75061798095702,181.24938964843753,mad_range,,,162.2493896484375,26.68680000000004,mad
24_mnist,4858,9,continuous,241,-44.33883285522461,210.66116333007807,mad_range,,,-44.33883285522461,0.0,mad
24_mnist,4858,10,continuous,208,-80.73670196533203,174.2633056640625,mad_range,,,-80.73670196533203,0.0,mad
24_mnist,4858,11,continuous,251,-122.34065246582033,132.6593475341797,mad_range,,,99.65934753417967,47.44320000000002,mad
24_mnist,4858,12,continuous,253,-62.35015106201172,192.64984130859372,mad_range,,,169.64984130859375,32.617199999999954,mad
24_mnist,4858,13,continuous,253,-87.20966339111328,167.79034423828125,mad_range,,,126.79033660888672,59.30401131134033,mad
24_mnist,4858,14,continuous,15,-9.828700065612791,243.1712951660156,mad_range,,,-9.828700065612791,0.0,mad
24_mnist,4858,15,continuous,2,-0.076399996876717,32.92359924316406,mad_range,,,-0.076399996876717,0.0,mad
24_mnist,4858,16,continuous,22,-3.639633417129517,249.36036682128903,mad_range,,,-3.639633417129517,0.0,mad
24_mnist,4858,17,continuous,167,-111.37183380126952,143.628173828125,mad_range,,,-111.37183380126952,0.0,mad
24_mnist,4858,18,continuous,223,-47.04378509521485,207.95620727539065,mad_range,,,-47.04378509521485,0.0,mad
24_mnist,4858,19,continuous,254,-133.33865356445312,121.66134643554688,mad_range,,,117.66134643554688,4.4478,mad
24_mnist,4858,20,continuous,255,-48.18256759643555,206.8174285888672,mad_range,,,184.3174285888672,31.875899999999998,mad
24_mnist,4858,21,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,22,continuous,142,-9.87643337249756,245.12356567382807,mad_range,,,-9.87643337249756,0.0,mad
24_mnist,4858,23,continuous,255,-68.9713363647461,186.02865600585935,mad_range,,,122.0286636352539,91.92118868865963,mad
24_mnist,4858,24,continuous,253,-65.94281768798828,189.05718994140625,mad_range,,,40.55718231201172,157.8969,mad
24_mnist,4858,25,continuous,254,-65.99446868896484,189.00552368164065,mad_range,,,38.00553131103516,154.19039999999998,mad
