dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
21_Lymphography,89,0,continuous,3,0.79252,1.500705,mad_range,,,1.168571,0.49242186839999985,mad
21_Lymphography,89,1,continuous,2,0.590493,0.807558,mad_range,,,0.590493,0.0,mad
21_Lymphography,89,2,continuous,2,0.193191,1.739116,mad_range,,,0.193191,0.0,mad
21_Lymphography,89,3,continuous,2,0.048452,3.051302,mad_range,,,0.048452,0.0,mad
21_Lymphography,89,4,continuous,2,0.278713,1.413693,mad_range,,,0.278713,0.0,mad
21_Lymphography,89,5,continuous,2,0.679724,0.706753,mad_range,,,0.679724,0.0,mad
21_Lymphography,89,6,continuous,2,0.069959,2.694627,mad_range,,,0.069959,0.0,mad
21_Lymphography,89,7,continuous,2,0.352821,1.213023,mad_range,,,0.352821,0.0,mad
21_Lymphography,89,8,constant,1,1.0,1.0,constant,1.0,1.0,,,fallback
21_Lymphography,89,9,categorical_low_card,4,1.0,4.0,minmax,1.0,4.0,,,fallback
21_Lymphography,89,10,continuous,3,0.653407,3.205453,mad_range,,,0.653407,0.0,mad
21_Lymphography,89,11,continuous,4,1.085189,3.8986,mad_range,,,1.105392,0.029952967799999956,mad
21_Lymphography,89,12,continuous,4,0.679724,3.205453,mad_range,,,0.679724,0.0,mad
21_Lymphography,89,13,continuous,7,1.19055,4.304065,mad_range,,,1.665008,0.7034314308,mad
21_Lymphography,89,14,continuous,3,0.653407,1.665008,mad_range,,,0.653407,0.0,mad
21_Lymphography,89,15,continuous,2,0.412245,1.085189,mad_range,,,0.412245,0.0,mad
21_Lymphography,89,16,continuous,2,0.235038,1.563225,mad_range,,,0.235038,0.0,mad
21_Lymphography,89,17,categorical_low_card,8,1.0,8.0,minmax,1.0,8.0,,,fallback
