dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
46_WPBC,97,0,continuous,67,0.0,1.0,mad_range,,,0.435483870968,0.3228241935485784,mad
46_WPBC,97,1,continuous,93,0.0,0.840811309158,mad_range,,,0.347264904733,0.19865199754252436,mad
46_WPBC,97,2,continuous,95,0.0,1.0,mad_range,,,0.387889273356,0.14825999999999995,mad
46_WPBC,97,3,continuous,93,0.0,0.855716878403,mad_range,,,0.345735027223,0.19454079854826115,mad
46_WPBC,97,4,continuous,96,0.0,0.78341453082,mad_range,,,0.262920991315,0.16926951916968663,mad
46_WPBC,97,5,continuous,89,0.0136239782016,1.0,mad_range,,,0.396242650222,0.17647468808374442,mad
46_WPBC,97,6,continuous,95,0.0198228754475,1.0,mad_range,,,0.320896928585,0.1614740531367936,mad
46_WPBC,97,7,continuous,97,0.0,1.0,mad_range,,,0.297949456333,0.15421513330993133,mad
46_WPBC,97,8,continuous,94,0.0451102880203,1.0,mad_range,,,0.352037149649,0.1587592570076058,mad
46_WPBC,97,9,continuous,91,0.0692840646651,1.0,mad_range,,,0.338337182448,0.142096766743512,mad
46_WPBC,97,10,continuous,97,0.0150455605001,1.0,mad_range,,,0.261919898284,0.16651366815040436,mad
46_WPBC,97,11,continuous,97,0.0,0.809254245631,mad_range,,,0.189392074822,0.16356767167190264,mad
46_WPBC,97,12,continuous,97,0.042503740966,1.0,mad_range,,,0.251488426884,0.11814918653865603,mad
46_WPBC,97,13,continuous,97,0.0,0.739424424837,mad_range,,,0.195843984497,0.13778265028436584,mad
46_WPBC,97,14,continuous,97,0.0,0.725174663091,mad_range,,,0.127843448892,0.1188495281613738,mad
46_WPBC,97,15,continuous,96,0.00558619962759,0.725960018269,mad_range,,,0.118785792081,0.06391280609915587,mad
46_WPBC,97,16,continuous,95,0.0137286904641,0.708401989801,mad_range,,,0.168703583672,0.11126475756204059,mad
46_WPBC,97,17,continuous,94,0.000526870389884,0.879572482312,mad_range,,,0.195243113051,0.11426933614303199,mad
46_WPBC,97,18,continuous,94,0.0,0.92169169404,mad_range,,,0.256511027687,0.12436168465390314,mad
46_WPBC,97,19,continuous,97,0.0,0.985150776729,mad_range,,,0.189384709108,0.11148853944619441,mad
46_WPBC,97,20,continuous,95,0.0224875795346,0.783840320753,mad_range,,,0.23141288242,0.12702830994525,mad
46_WPBC,97,21,continuous,90,0.0,0.881561238223,mad_range,,,0.317631224764,0.18823499327184717,mad
46_WPBC,97,22,continuous,94,0.0200790994828,1.0,mad_range,,,0.375722543353,0.18628348037636813,mad
46_WPBC,97,23,continuous,91,0.0,0.8762746431,mad_range,,,0.323589394969,0.19049041468366984,mad
46_WPBC,97,24,continuous,97,0.0,0.861262481958,mad_range,,,0.211464255206,0.15852714365719975,mad
46_WPBC,97,25,continuous,93,0.0,0.970147131992,mad_range,,,0.437060203284,0.12645674888146446,mad
46_WPBC,97,26,continuous,95,0.0,1.0,mad_range,,,0.298195074949,0.16347495256801378,mad
46_WPBC,97,27,continuous,96,0.0,0.943281967156,mad_range,,,0.330116402855,0.1297575784016904,mad
46_WPBC,97,28,continuous,94,0.0,1.0,mad_range,,,0.567180743179,0.14865148674061143,mad
46_WPBC,97,29,continuous,94,0.0,1.0,mad_range,,,0.30435639661,0.11777800118217419,mad
46_WPBC,97,30,continuous,94,0.0,1.0,mad_range,,,0.223468450741,0.13060027548243477,mad
46_WPBC,97,31,continuous,28,0.0,1.0,mad_range,,,0.177083333333,0.13899375000000003,mad
46_WPBC,97,32,continuous,19,0.0,1.0,mad_range,,,0.0,0.0,mad
